"Seconds","O2","CO2","BP","WVP","FlowRate","Temperature","Marker","O2_lagcorrected","CO2_lagcorrected","WVP_lagcorrected","O2_lagdriftcorrected","CO2_lagdriftcorrected"
45,21.57103,0.0154,98.96213,0.0823,152.2617,25.9668,-1,21.57338,0.0145,0.082,-0.00783253759346536,0.00260895301767451
46,21.55462,0.0145,99.01463,0.082,152.1867,25.9668,-1,21.56478,0.014,0.0811,-0.01641972157109,0.00210704888084393
47,21.56244,0.0148,98.97338,0.0805,152.1242,25.96836,-1,21.54994,0.016,0.0827,-0.0312469163422833,0.00410514597061881
48,21.55384,0.0146,98.95839,0.0817,152.0679,25.96524,-1,21.56556,0.0159,0.0814,-0.0156141219048074,0.00400324428674541
49,21.56166,0.0148,98.95839,0.0817,152.0117,25.97149,-1,21.55462,0.0155,0.082,-0.0265413382564219,0.00360134382897002
50,21.55384,0.0141,99.00339,0.0814,152.0242,25.96836,-1,21.55228,0.0159,0.0808,-0.0288685653948875,0.0039994445970389
51,21.55228,0.016,98.98089,0.0814,152.1304,25.96524,-1,21.54994,0.0161722,0.0798,-0.0311958033179565,0.00426974659069834
52,21.55697,0.0161722,99.00714,0.0814,152.1805,25.96211,-1,21.56088,0.0154,0.082,-0.0202430520233925,0.0034956498096946
53,21.55619,0.0154,98.99963,0.0811,152.2617,25.9668,-1,21.55853,0.014,0.0811,-0.0225803115089569,0.00209375425377396
54,21.55775,0.0159,99.02964,0.0827,152.3242,25.96993,-1,21.55853,0.0143,0.0811,-0.0225675817724031,0.0023918599226827
55,21.57103,0.0157,99.03714,0.0817,152.3117,25.97618,-1,21.55775,0.0151,0.0808,-0.0233348628114953,0.00318996681616709
56,21.57181,0.0164847,98.95839,0.0817,152.3555,25.96993,-1,21.57338,0.0151,0.0823,-0.00769215462398876,0.0031880749339734
57,21.56947,0.0154,99.01839,0.082,152.3867,25.97149,-1,21.57025,0.0137,0.0814,-0.0108094572076425,0.0017861842758479
58,21.56556,0.0141,98.97338,0.0817,152.3617,25.97149,-1,21.55462,0.0145,0.0817,-0.0264267705602172,0.00258429484153689
59,21.55462,0.014,98.95464,0.0817,152.3617,25.96836,-1,21.56478,0.0151,0.082,-0.0162540946794714,0.00318240663078661
60,21.56478,0.0145,98.96213,0.0817,152.4367,25.96055,-1,21.55384,0.0146,0.082,-0.0271814295631607,0.00268051964334336
61,21.55541,0.0148,98.97338,0.0811,152.4055,25.96993,-1,21.55228,0.0154,0.0814,-0.0287287752090499,0.00347863387895341
62,21.55384,0.0138,98.95839,0.0814,152.3742,25.96836,-1,21.55072,0.0152,0.0814,-0.0302761316148974,0.00327674933736302
63,21.55228,0.0164847,98.99214,0.0823,152.2992,25.97149,-1,21.55072,0.0157,0.0808,-0.0302634987784565,0.00377486601831848
64,21.55853,0.0152,99.00714,0.0811,152.2679,25.96836,-1,21.57416,0.0157,0.0808,-0.00681087669748948,0.00377298392156606
65,21.55853,0.0149,99.05214,0.0814,152.1742,25.96993,-1,21.55931,0.0149,0.0802,-0.0216482653697554,0.00297110304685204
66,21.55931,0.016,99.05214,0.0808,152.043,25.96368,-1,21.57416,0.0154,0.0811,-0.00678566479301068,0.00346922339392268
67,21.55619,0.0155,99.05589,0.0817,152.0305,25.97149,-1,21.56713,0.0137,0.0808,-0.013803074965022,0.00176734496252426
68,21.57025,0.016,99.00714,0.082,151.9805,25.96524,-1,21.57181,0.0132034,0.0814,-0.00911049588354018,0.00126886775240307
69,21.56713,0.0151,98.95464,0.0811,152.0305,25.9668,-1,21.55541,0.0149,0.0817,-0.0254979275463256,0.00296359176330536
70,21.55384,0.0149,99.01463,0.0827,151.9992,25.9668,-1,21.56478,0.0145,0.0811,-0.0161153699511409,0.00256171699497742
71,21.56478,0.0148,98.96588,0.0814,152.0804,25.96368,-1,21.55541,0.0154,0.082,-0.0254728230957433,0.00345984344716552
72,21.54916,0.0141,99.01839,0.082,152.1742,25.96836,-1,21.56556,0.0159,0.0802,-0.0153102869778863,0.00395797111961593
73,21.56556,0.0123,98.98839,0.0808,152.2742,25.97462,-1,21.55462,0.0161722,0.0805,-0.0262377615953397,0.00422830001207493
74,21.55306,0.0149,98.96213,0.0798,152.3555,25.96836,-1,21.55306,0.0157,0.0805,-0.0277852469458573,0.0037542301242888
75,21.55619,0.0164847,99.00714,0.082,152.368,25.96524,-1,21.55306,0.0154,0.0805,-0.0277727430271923,0.00345236145600381
76,21.56088,0.0161722,98.9959,0.0811,152.3617,25.9668,-1,21.56088,0.0154,0.0811,-0.0199402498371093,0.00345049400696622
77,21.55619,0.0155,98.9959,0.0811,152.4055,25.97149,-1,21.55853,0.0146,0.0805,-0.0222777673733674,0.00264862777692233
78,21.56088,0.0152,99.04839,0.0808,152.3555,25.96836,-1,21.55853,0.0137,0.0811,-0.0222652956337264,0.00174676276561839
79,21.57025,0.0152,98.99963,0.0823,152.418,25.96993,-1,21.56869,0.0148,0.0805,-0.0120928346159417,0.0028448989728007
80,21.56713,0.0157,98.98839,0.0814,152.418,25.96836,-1,21.57181,0.0152,0.0814,-0.00896038431777768,0.00324303639821551
81,21.57181,0.0149,99.01088,0.0817,152.3804,25.96836,-1,21.564,0.0143,0.0814,-0.0167579447369839,0.00234117504160911
82,21.56478,0.0149,98.96213,0.082,152.368,25.97149,-1,21.54994,0.0154,0.0811,-0.0308055158713287,0.00343931490272776
83,21.55306,0.0143,99.02213,0.082,152.3242,25.95899,-1,21.56322,0.0157,0.0811,-0.0175130977185667,0.00373745598131775
84,21.56556,0.0143,98.95088,0.0814,152.2242,25.96211,-1,21.55306,0.0159,0.0814,-0.0276606902764591,0.00393559827712536
85,21.55384,0.0145,99.00714,0.0814,152.168,25.96368,-1,21.55228,0.0161722,0.0811,-0.0284282935427633,0.00420594178989684
86,21.54759,0.014,99.00339,0.0808,152.1367,25.96524,-1,21.55306,0.0154,0.0802,-0.0276359075152364,0.00343188651937847
87,21.56009,0.016,98.9959,0.0808,152.0617,25.9668,-1,21.56088,0.0157,0.0811,-0.0198035321916379,0.00373003246531654
88,21.55931,0.0159,98.99963,0.0802,152.0367,25.96368,-1,21.55853,0.0148,0.0808,-0.0221411675697318,0.00282817962745732
89,21.55462,0.0155,99.00339,0.0811,152.0242,25.96524,-1,21.55853,0.0145,0.0805,-0.0221288136472708,0.00252632800554708
90,21.55931,0.0159,99.05963,0.0808,151.9805,25.96836,-1,21.55775,0.0145,0.082,-0.0228964704220225,0.00252447759933209
91,21.55384,0.0161722,99.04463,0.0814,152.0804,25.96836,-1,21.57025,0.0148,0.0805,-0.0103841378917302,0.00282262840855863
92,21.56869,0.0154,99.01839,0.0817,152.1492,25.9668,-1,21.56947,0.0146,0.0811,-0.0111518160541699,0.00262078043297297
93,21.56322,0.014,98.96588,0.0811,152.2554,25.96993,-1,21.55306,0.0146,0.0802,-0.0275495049070926,0.0026189336723214
94,21.55541,0.0143,99.02213,0.082,152.3117,25.97462,-1,21.56635,0.0159,0.0802,-0.0142472044482531,0.00391708812635017
95,21.56713,0.0151,98.96964,0.0802,152.3179,25.96211,-1,21.55072,0.0159,0.0802,-0.0298649146754215,0.00391524379480558
96,21.55228,0.0151,98.94714,0.0805,152.3617,25.96836,-1,21.56478,0.0157,0.0805,-0.0157926355863474,0.00371340067743388
97,21.5515,0.0137,99.06339,0.0805,152.368,25.9668,-1,21.55228,0.014,0.0805,-0.028280367178791,0.00201155877398136
98,21.54994,0.0145,98.9959,0.0805,152.418,25.96368,-1,21.54916,0.0154,0.0785951,-0.0313881094505106,0.00340971808419429
99,21.56009,0.0151,99.06714,0.0811,152.4117,25.96524,-1,21.55931,0.016,0.0795,-0.0212258623992732,0.00400787860781895
100,21.57181,0.0146,99.00339,0.0805,152.4117,25.96055,-1,21.55853,0.0146,0.0802,-0.0219936260228266,0.0026060403446016
101,21.55541,0.0154,99.03714,0.0811,152.3992,25.96836,-1,21.55541,0.0141,0.0808,-0.0251014003189418,0.00210420329428853
102,21.57416,0.0152,99.04089,0.0805,152.4242,25.96211,-1,21.55931,0.0146,0.0802,-0.0211891852853654,0.00260236745662601
103,21.57025,0.0157,99.02213,0.0814,152.368,25.96524,-1,21.56635,0.0141,0.0802,-0.014136980919865,0.0021005328313603
104,21.56791,0.0157,98.95088,0.0814,152.2554,25.96368,-1,21.57103,0.0154,0.0808,-0.00944478722019326,0.0033986994182377
105,21.57181,0.0149,99.02213,0.0811,152.2305,25.96211,-1,21.56478,0.0145,0.0802,-0.0156826041841178,0.00249686721700447
106,21.56556,0.0154,98.97713,0.0811,152.1805,25.96368,-1,21.55072,0.0161722,0.0802,-0.0297304318093907,0.00416723622740688
107,21.55384,0.0137,98.95464,0.0814,152.1367,25.95899,-1,21.56322,0.0157,0.0792,-0.0172182700937675,0.00369320644919121
108,21.56556,0.0132034,98.95839,0.0811,152.118,25.96524,-1,21.55228,0.0164847,0.0792,-0.0281461190350178,0.00447607788210375
109,21.55384,0.0149,98.95839,0.0802,152.1492,25.96211,-1,21.55306,0.0155,0.0789076,-0.0273539786308916,0.00348955052589075
110,21.55228,0.0145,98.99214,0.0811,152.0742,25.96524,-1,21.5515,0.0155,0.0777,-0.0289018488791513,0.00348772438029849
111,21.55853,0.0154,98.9959,0.0808,152.1867,25.96055,-1,21.55931,0.0151,0.078,-0.0210797297775578,0.00308589944507325
112,21.55853,0.0159,98.9959,0.0805,152.2679,25.95743,-1,21.55541,0.0143,0.0773,-0.0249676213238672,0.0022840757199613
113,21.55931,0.0161722,99.04839,0.082,152.293,25.97462,-1,21.55775,0.014,0.0927,-0.0226155235158387,0.00198225320470892
114,21.56947,0.0157,99.04463,0.0805,152.3617,25.96836,-1,21.55775,0.0137,0.172034,-0.0226034363512326,0.00168043189906238
115,21.57103,0.0154,98.97338,0.0811,152.3804,25.95899,-1,21.56869,0.0148,0.332974,-0.0116513598278054,0.00277861180276796
116,21.57025,0.0154,99.01839,0.0802,152.368,25.95274,-1,21.56556,0.0145,0.5373521,-0.0147692939433171,0.00247679291557193
117,21.56478,0.0146,98.97338,0.0802,152.4242,25.96368,-1,21.55384,0.0141,0.7457927,-0.0264772386955272,0.00207497523722056
118,21.55462,0.0137,99.02213,0.0802,152.4117,25.96368,-1,21.564,0.0157,0.9423583,-0.0163051940822001,0.00367315876746013
119,21.56556,0.0148,98.98089,0.0805,152.4367,25.96055,50,21.54994,0.0157,1.122361,-0.030353160101086,0.00367134350603692
120,21.55228,0.0152,98.98464,0.0805,152.4117,25.82461,-1,21.56088,0.0152,1.284551,-0.0194011367499449,0.0031695294526972
121,21.55072,0.0143,98.96588,0.0785951,156.0555,25.86368,-1,21.54994,0.0154,1.432678,-0.0303291240265402,0.00336771660718723
122,21.55228,0.0154,98.98839,0.0795,152.3742,25.92774,-1,21.5515,0.016,1.568305,-0.0287571219286278,0.00396590496925331
123,21.55384,0.0157,98.98839,0.0802,148.0241,25.97462,-1,21.57416,0.0163,1.690495,-0.00608513045396819,0.00426409453864169
124,21.55775,0.0159,98.98839,0.0808,144.6116,25.99337,-1,21.55853,0.0148,1.799871,-0.0217031496003166,0.00276228531509867
125,21.55697,0.0161722,99.05589,0.0802,142.2491,26.00274,-1,21.57025,0.0138,1.896435,-0.00997117936543646,0.0017604772983705
126,21.55775,0.0154,99.04839,0.0802,140.6928,25.98243,-1,21.57103,0.014,1.979874,-0.00917921974708946,0.00195867048820347
127,21.56791,0.0157,99.01088,0.0808,139.6865,25.9668,-1,21.564,0.0143,2.056125,-0.016197270743028,0.00225686488434384
128,21.56947,0.0148,98.96588,0.0802,138.949,25.94962,-1,21.57025,0.0141,2.121126,-0.00993533235101296,0.0020550604865379
129,21.55072,0.0145,99.02964,0.0802,138.6177,25.92462,-1,21.56244,0.0146,2.178627,-0.0177334045688049,0.00255325729453192
130,21.56635,0.0145,98.95464,0.0792,138.3677,25.91212,-1,21.55306,0.0163,2.22644,-0.0271014873941624,0.00425145530807217
131,21.55072,0.0148,98.96213,0.0792,138.2802,25.88868,-1,21.564,0.0154,2.271441,-0.0161495808248375,0.00334965452690493
132,21.564,0.0146,98.96213,0.0789076,138.274,25.8793,-1,21.55384,0.0163,2.308629,-0.0262976848586014,0.00424785495077647
133,21.55228,0.0146,98.99963,0.0777,138.2302,25.87149,-1,21.5515,0.0145,2.342692,-0.0286257994932058,0.00244605657943307
134,21.55072,0.0159,98.99963,0.078,138.2365,25.86055,-1,21.55853,0.0154,2.365192,-0.0215839247264071,0.003344259412621
135,21.55619,0.0159,98.99214,0.0773,138.249,25.85586,-1,21.55931,0.0154,2.398318,-0.0207920605559728,0.00334246345008653
136,21.55775,0.0157,98.99214,0.0927,138.1865,25.84961,-1,21.55775,0.0145,2.416756,-0.0223402069796563,0.00244066869157594
137,21.55853,0.014,98.9959,0.172034,138.2427,25.84493,-1,21.55619,0.0146,2.441444,-0.0238883639952157,0.0025388751368355
138,21.55619,0.0154,99.04839,0.332974,138.1802,25.84336,-1,21.55775,0.0145,2.456131,-0.0223165316004135,0.0024370827856115
139,21.56947,0.016,98.97338,0.5373521,138.1552,25.83711,-1,21.56869,0.0141,2.477382,-0.0113647097930034,0.00203529163765019
140,21.57338,0.0146,99.02589,0.7457927,138.1302,25.83711,-1,21.57103,0.0151,2.493007,-0.00901289857074872,0.00303350169269787
141,21.56478,0.0141,98.97338,0.9423583,138.1365,25.83399,-1,21.55462,0.0148,2.504257,-0.0254110979314106,0.00273171295050079
142,21.54994,0.0146,98.99214,1.122361,138.1302,25.83086,-1,21.56322,0.0166,2.518007,-0.0167993078727413,0.00452992541080524
143,21.56556,0.0141,98.95464,1.284551,138.049,25.8293,-1,21.55228,0.0168,2.527695,-0.0277275283925036,0.00472813907335749
144,21.55462,0.0154,98.96588,1.432678,137.974,25.82618,-1,21.54838,0.017,2.538633,-0.0316157594884565,0.00492635393790382
145,21.55228,0.0145,98.99963,1.568305,137.9365,25.82618,-1,21.55931,0.018,2.546445,-0.0206740011583584,0.00592457000419049
146,21.54994,0.0161722,98.9959,1.690495,137.949,25.82461,-1,21.55931,0.0185,2.558008,-0.0206622533999692,0.00642278727196379
147,21.56088,0.0157,98.98464,1.799871,137.9865,25.82305,-1,21.55931,0.0188,2.564883,-0.0206505162110453,0.00672100574096999
148,21.55853,0.0164847,98.99214,1.896435,137.9302,25.8168,-1,21.55931,0.0194535,2.574258,-0.0206387895893485,0.00737272541095536
149,21.55853,0.0155,99.05214,1.979874,137.9927,25.8168,-1,21.55931,0.0212,2.582696,-0.020627073532637,0.00911744628166618
150,21.55775,0.0155,98.96964,2.056125,137.999,25.81836,-1,21.56947,0.022,2.588633,-0.0104553680386701,0.00991566835284871
151,21.57338,0.0151,99.01839,2.121126,138.124,25.82149,-1,21.56556,0.0257,2.595509,-0.0143536731052016,0.0136138916242493
152,21.57025,0.0143,98.96588,2.178627,138.1865,25.81836,-1,21.56869,0.0292974,2.601134,-0.0112119887300004,0.0172095160956141
153,21.55462,0.014,98.99963,2.22644,138.2177,25.81993,-1,21.56322,0.0346,2.606134,-0.0166703149108152,0.0225103417666894
154,21.56478,0.0137,98.96213,2.271441,138.2865,25.81055,-1,21.54759,0.0405,2.612071,-0.0322886516454162,0.0284085686372216
155,21.55384,0.0148,98.95839,2.308629,138.3177,25.81211,-1,21.55931,0.0484,2.617384,-0.0205569989315499,0.0363067967069568
156,21.55228,0.0145,98.95839,2.342692,138.3177,25.80899,-1,21.54838,0.0552,2.621446,-0.0314753567669825,0.0431050259756415
157,21.55072,0.0141,98.95464,2.365192,138.3427,25.81367,-1,21.55072,0.067,2.625821,-0.0291237251494749,0.0549032564430218
158,21.55072,0.0157,99.05963,2.398318,138.3177,25.80743,-1,21.55228,0.0801,2.630197,-0.0275521040767792,0.0680014881088439
159,21.57416,0.0157,98.99214,2.416756,138.374,25.81055,-1,21.55462,0.094,2.635822,-0.0252004935466559,0.0818997209728543
160,21.55931,0.0152,99.05963,2.441444,138.324,25.80899,-1,21.55775,0.1096111,2.638634,-0.0220588935568706,0.0975090550347992
161,21.57416,0.0154,99.02589,2.456131,138.3115,25.81211,-1,21.55853,0.1278926,2.643947,-0.021267304105173,0.115788790294425
162,21.56713,0.016,99.05963,2.477382,138.2802,25.8168,-1,21.55619,0.147268,2.646447,-0.0235957251893311,0.135162426751477
163,21.57181,0.0163,98.96964,2.493007,138.2365,25.81993,-1,21.56869,0.167737,2.648947,-0.0110841568070974,0.155629664405703
164,21.55541,0.0148,99.01839,2.504257,138.1927,25.81993,-1,21.56322,0.1907061,2.653947,-0.0165425989562316,0.178597003256849
165,21.56478,0.0138,98.96213,2.518007,138.1365,25.81993,-1,21.55072,0.2136752,2.657384,-0.0290310516345009,0.20156434330466
166,21.55541,0.014,99.02213,2.527695,138.0865,25.81211,-1,21.55775,0.2377381,2.660197,-0.0219895148396496,0.225625484548883
167,21.56556,0.0143,98.98089,2.538633,138.0927,25.8168,-1,21.54369,0.2569571,2.662072,-0.0360379885694471,0.244842726989265
168,21.55462,0.0141,98.96213,2.546445,138.099,25.8168,-1,21.53822,0.2791449,2.666447,-0.0414964728216489,0.267028770625552
169,21.55306,0.0146,98.99214,2.558008,138.0927,25.81524,-1,21.53509,0.2997703,2.668947,-0.0446149675940148,0.287652415457489
170,21.55306,0.0163,98.9959,2.564883,138.0802,25.81055,-1,21.539,0.3177393,2.670822,-0.0406934728843034,0.305619661484824
171,21.56088,0.0154,98.99214,2.574258,138.1302,25.8168,-1,21.53509,0.3353958,2.67426,-0.044591988690275,0.323274408707302
172,21.55853,0.0163,99.04839,2.582696,138.199,25.81211,-1,21.52806,0.3521148,2.676135,-0.0516105150096884,0.33999165712467
173,21.55853,0.0145,99.03339,2.588633,138.224,25.81367,-1,21.51634,0.3660213,2.679572,-0.0633190518402991,0.353896406736673
174,21.56869,0.0154,98.95839,2.595509,138.2802,25.81055,-1,21.52259,0.3803965,2.682385,-0.0570575991798705,0.36826985754306
175,21.57181,0.0154,99.01839,2.601134,138.2802,25.80899,-1,21.51322,0.3939905,2.685822,-0.0664161570261577,0.381862109543575
176,21.564,0.0145,98.95839,2.606134,138.2677,25.80743,-1,21.489,0.4049281,2.687385,-0.090624725376923,0.392797962737964
177,21.54994,0.0146,99.02213,2.612071,138.2802,25.80586,-1,21.48744,0.415397,2.68926,-0.0921733042299238,0.403265117125975
178,21.56322,0.0145,98.96964,2.617384,138.274,25.80743,-1,21.47025,0.4236784,2.692072,-0.109351893582918,0.411544772707353
179,21.55306,0.0141,98.95839,2.621446,138.324,25.81524,-1,21.46556,0.4310223,2.693948,-0.114030493433667,0.418886929481845
180,21.55228,0.0151,98.94714,2.625821,138.374,25.80899,-1,21.44213,0.4361786,2.69551,-0.137449103779929,0.424041487449197
181,21.55306,0.0148,98.99214,2.630197,138.3677,25.81055,-1,21.42416,0.4421162,2.697385,-0.155407724619462,0.429977346609155
182,21.56088,0.0166,99.00339,2.635822,138.3115,25.81055,-1,21.43275,0.4452412,2.69926,-0.146806355950027,0.433100606961465
183,21.55853,0.0168,98.98839,2.638634,138.3052,25.81211,-1,21.40228,0.4452412,2.70176,-0.177264997769374,0.433098868505875
184,21.55853,0.017,99.04089,2.643947,138.2365,25.81211,-1,21.40228,0.44696,2.703323,-0.177253650075276,0.434815931242129
185,21.55775,0.018,99.04463,2.646447,138.1802,25.80899,-1,21.37103,0.4485225,2.703948,-0.208492312865484,0.436376695169975
186,21.57025,0.0185,99.01463,2.648947,138.1052,25.80743,-1,21.36634,0.4478975,2.70551,-0.213170986137758,0.435749960289158
187,21.56947,0.0188,98.96588,2.653947,138.0615,25.8043,-1,21.35384,0.44696,2.707073,-0.225659669889854,0.434810726599425
188,21.55306,0.0194535,99.01088,2.657384,138.0365,25.80899,-1,21.32962,0.4453975,2.711135,-0.249868364119543,0.433246494100522
189,21.56635,0.0212,98.96588,2.660197,138.0302,25.81211,-1,21.30619,0.4455537,2.712073,-0.273287068824565,0.433400962792196
190,21.55072,0.022,98.95839,2.662072,138.0802,25.8043,-1,21.30306,0.4422725,2.713635,-0.276405784002694,0.430118032674193
191,21.56478,0.0257,98.96213,2.666447,138.1365,25.80274,-1,21.27962,0.4411787,2.716448,-0.299834509651681,0.429022503746258
192,21.55228,0.0292974,98.95839,2.668947,138.2365,25.80274,-1,21.26478,0.4371161,2.716135,-0.314663245769292,0.424958176008139
193,21.54916,0.0346,98.9959,2.670822,138.3302,25.80743,-1,21.25228,0.4349286,2.717698,-0.327151992353279,0.422768949459581
194,21.55931,0.0405,98.99214,2.67426,138.324,25.80274,-1,21.2515,0.4307098,2.71926,-0.327920749401404,0.418548424100331
195,21.55853,0.0484,98.98089,2.676135,138.3615,25.79649,-1,21.23978,0.4261785,2.720823,-0.33962951691143,0.414015399930135
196,21.55541,0.0552,98.9959,2.679572,138.4177,25.80274,-1,21.23275,0.4218034,2.723011,-0.346648294881106,0.409638576948739
197,21.55931,0.067,99.03714,2.682385,138.399,25.80117,-1,21.22103,0.4189909,2.723635,-0.358357083308199,0.40682435515589
198,21.56635,0.0801,99.04463,2.685822,138.4302,25.79961,-1,21.22728,0.414772,2.725823,-0.352095882190465,0.402603734551334
199,21.57103,0.094,99.01088,2.687385,138.374,25.80274,-1,21.22415,0.4108657,2.727073,-0.35521469152566,0.398695715134817
