Seconds	O2	CO2	BP	WVP	FlowRate	Temp	Marker
77	5.75E-03	1.68E-03	98.11462	0.1160957	152.9867	25.57305	-1
78	-3.62E-03	-3.00E-03	98.14087	0.1170332	153.2305	25.57305	-1
79	-1.14E-02	4.34E-04	98.10712	0.1160957	153.3992	25.57461	-1
80	-7.53E-03	-1.75E-03	98.15587	0.1170332	153.3617	25.57461	-1
81	5.75E-03	2.78E-04	98.13713	0.1164082	153.3992	25.57148	-1
82	2.62E-03	9.03E-04	98.09587	0.1160957	153.568	25.57773	-1
83	-4.41E-03	-3.48E-05	98.11087	0.1148456	153.693	25.57617	-1
84	-9.88E-03	1.68E-03	98.09587	0.1157832	153.5805	25.58398	-1
85	-6.76E-03	-1.28E-03	98.06587	0.1148456	153.5242	25.58555	-1
86	2.71E-04	2.47E-03	98.04712	0.1151582	153.6867	25.58242	-1
87	-2.08E-02	2.15E-03	98.10338	0.1139081	153.743	25.57773	-1
88	4.17E-03	-5.04E-04	98.07713	0.1154707	153.5492	25.58711	-1
89	-1.15E-02	1.68E-03	98.11837	0.1145331	153.493	25.58242	-1
90	1.83E-03	1.37E-03	98.05836	0.1145331	153.6492	25.5793	-1
91	2.61E-03	1.84E-03	98.10712	0.1154707	153.5305	25.58555	-1
92	-1.07E-02	7.46E-04	98.06962	0.1151582	153.2055	25.58555	-1
93	-7.55E-03	7.46E-04	98.07337	0.1139081	153.068	25.59492	-1
94	-5.99E-03	-2.07E-03	98.03587	0.1151582	153.1867	25.59336	-1
95	-7.56E-03	-2.69E-03	98.09212	0.1139081	153.2242	25.57773	-1
96	-7.56E-03	1.37E-03	98.13713	0.1135956	153.1242	25.58086	-1
97	-1.69E-02	-2.54E-03	98.09587	0.1132831	152.993	25.57773	-1
98	-2.87E-03	-1.75E-03	98.03963	0.1135956	153.2305	25.58242	-1
99	-3.66E-03	1.06E-03	98.08463	0.1151582	153.4492	25.57617	-1
100	-1.85E-02	7.46E-04	98.14087	0.1135956	153.3742	25.58242	-1
101	-1.31E-03	-4.57E-03	98.08087	0.1145331	153.3367	25.58242	-1
102	-1.46E-02	2.15E-03	98.12212	0.1145331	153.4992	25.58711	-1
103	-2.10E-03	1.06E-03	98.06962	0.1120331	153.6055	25.58555	-1
104	-1.69E-02	4.34E-04	98.05087	0.1142206	153.5117	25.58867	-1
105	-1.77E-02	-1.91E-03	98.10712	0.1145331	153.4305	25.58398	-1
106	-6.79E-03	-3.79E-03	98.09587	0.1154707	153.643	25.5793	-1
107	-9.92E-03	-2.07E-03	98.09212	0.1123456	153.6867	25.58711	-1
108	-7.58E-03	1.53E-03	98.11837	0.1142206	153.5242	25.59023	-1
109	-2.16E-02	2.46E-03	98.09212	0.1123456	153.5305	25.58711	-1
110	-5.51E-04	5.90E-04	98.11837	0.1117206	153.668	25.5918	-1
111	-2.01E-02	-3.48E-04	98.12588	0.1132831	153.5305	25.58555	-1
112	-1.31E-02	5.90E-04	98.09962	0.1117206	153.268	25.58398	-1
113	-5.24E-03	1.68E-03	98.14087	0.1148456	153.2367	25.5918	-1
114	-8.37E-03	-2.07E-03	98.09212	0.1110956	153.2742	25.59023	-1
115	-7.59E-03	2.31E-03	98.12588	0.1123456	153.2055	25.5918	-1
116	-1.46E-02	2.77E-04	98.11462	0.1114081	153.0805	25.58867	-1
117	4.13E-03	-3.47E-03	98.03587	0.1123456	153.0867	25.59336	-1
118	-7.59E-03	2.00E-03	98.10338	0.1110956	153.3805	25.59805	-1
119	-9.16E-03	-3.55E-05	98.10338	0.1123456	153.4992	25.58555	50
120	-1.46E-02	-1.92E-04	98.07337	0.1117206	153.4555	25.43867	-1
121	8.81E-03	1.53E-03	98.09587	0.1117206	191.356	25.45429	-1
122	-0.0169735	1.84E-03	98.03587	0.1120331	199.6374	25.45898	-1
123	-5.70E-04	1.68E-03	98.09962	0.1114081	199.5999	25.45586	-1
124	-1.31E-02	7.46E-04	98.08463	0.1129706	199.6062	25.47461	-1
125	-2.92E-03	1.84E-03	98.06587	0.1126581	199.6437	25.47148	-1
126	-2.14E-03	9.02E-04	98.09962	0.1142206	199.5999	25.46992	-1
127	-5.78E-04	1.68E-03	98.06587	0.1129706	199.6187	25.46992	-1
128	-4.48E-03	-5.04E-04	98.12212	0.1173457	199.6374	25.45742	-1
129	-8.39E-03	-5.04E-04	98.10712	0.1757841	199.6749	25.46367	-1
130	-4.49E-03	2.46E-03	98.09212	0.3148487	199.6562	25.47148	-1
131	-1.23E-02	-2.22E-03	98.13338	0.4914139	199.6374	25.45586	-1
132	-9.18E-03	1.53E-03	98.09587	0.6664166	199.6562	25.45273	-1
133	-0.0193367	1.21E-03	98.12588	0.8201689	199.6437	25.46367	-1
134	-5.89E-04	-3.94E-03	98.08463	0.958921	199.6249	25.46211	-1
135	-1.86E-02	-2.07E-03	98.09587	1.073923	199.6124	25.46211	-1
136	9.73E-04	-9.73E-04	98.07713	1.175487	199.6374	25.45586	-1
137	-5.28E-03	1.21E-03	98.15587	1.257988	199.6312	25.46367	-1
138	-1.31E-02	-1.92E-04	98.03213	1.330177	199.6187	25.45117	-1
139	-2.94E-03	2.00E-03	98.15211	1.388928	199.6499	25.46055	-1
140	-3.72E-03	2.46E-03	98.06962	1.438303	199.6187	25.44805	-1
141	-2.56E-02	-2.54E-03	98.07713	1.481742	199.6249	25.45429	-1
142	-0.0154438	2.62E-03	98.10338	1.51893	199.6624	25.46523	-1
143	-9.19E-03	1.68E-03	98.14087	1.548617	199.6249	25.45742	-1
144	-1.08E-02	1.53E-03	98.06962	1.577368	199.6687	25.44961	-1
145	-3.73E-03	2.31E-03	98.06962	1.603931	199.6562	25.45586	-1
146	-4.51E-03	2.78E-03	98.05463	1.632056	199.6437	25.45898	-1
147	2.52E-03	1.21E-03	98.08463	1.660807	199.6312	25.45429	-1
148	-2.25E-02	-3.60E-05	98.12212	1.691432	199.6624	25.45429	-1
149	-6.08E-03	2.78E-03	98.02837	1.721745	199.6124	25.44961	-1
150	-9.20E-03	1.21E-03	98.13338	1.754558	199.6624	25.44805	-1
151	-4.52E-03	2.76E-04	98.11462	1.784559	199.6124	25.44648	-1
152	-9.99E-03	-2.07E-03	98.11837	1.816122	199.6374	25.44492	-1
153	-5.31E-03	2.00E-03	98.14838	1.84706	199.6249	25.44961	-1
154	-1.62E-02	4.65E-03	98.05087	1.87706	199.6624	25.44492	-1
155	-6.87E-03	3.71E-03	98.14838	1.907998	199.6624	25.44961	-1
156	1.58E-04	5.90E-03	98.08463	1.934873	199.6624	25.44648	-1
157	-1.31E-02	4.50E-03	98.11087	1.962686	199.6749	25.44492	-1
158	-2.97E-03	9.50E-03	98.05087	1.987999	199.6812	25.44961	-1
159	-8.44E-03	7.93E-03	98.14087	2.009875	199.6249	25.43711	-1
160	-5.32E-03	1.23E-02	98.01712	2.032687	199.6124	25.41523	-1
161	-1.41E-03	1.14E-02	98.08087	2.054563	199.5874	25.42617	-1
162	-8.45E-03	1.50E-02	98.05836	2.0755	199.6437	25.42148	-1
163	-1.00E-02	0.0151202	98.11837	2.093626	199.6437	25.41055	-1
164	-7.67E-03	1.84E-02	98.11837	2.111126	199.6437	25.39648	-1
165	-2.20E-03	1.81E-02	98.02462	2.128314	199.6749	25.39179	-1
166	-6.11E-03	2.54E-02	98.08463	2.145502	199.6249	25.40429	-1
167	-1.16E-02	2.84E-02	98.04338	2.160189	199.6187	25.39648	-1
168	-2.02E-02	3.31E-02	98.05836	2.17644	199.6687	25.41055	-1
169	3.26E-03	3.86E-02	98.06962	2.187377	199.6624	25.41523	-1
170	-1.16E-02	4.64E-02	98.11087	2.200502	199.6312	25.40586	-1
171	-1.24E-02	5.42E-02	98.07337	2.21394	199.6312	25.41836	-1
172	-6.12E-03	0.0582457	98.12962	2.225815	199.6312	25.41679	-1
173	-9.24E-03	7.06E-02	98.02837	2.238316	199.6437	25.41679	-1
174	-3.00E-03	8.14E-02	98.12212	2.247378	199.6374	25.42617	-1
